"ti"	"ti_anc"	"terminal_flag"	"rank_flag"	"model"	"taxon_name"	"common_name"	"rank"	"n_gi_node"	"n_gi_sub_nonmodel"	"n_gi_sub_model"	"n_clust_node"	"n_clust_sub"	"n_PIclust_sub"	"n_sp_desc"	"n_sp_model"	"n_leaf_desc"	"n_otu_desc"	"ti_genus"	"n_genera"
1563121	1563123	NA	1	NA	"Toxodon"	NA	"genus"	0	0	0	NA	NA	NA	1	0	1	2	1563121	0
1563123	1563120	NA	1	NA	"Toxodontidae"	NA	"family"	0	0	0	NA	NA	NA	1	0	1	3	NA	1
1563120	9347	NA	1	NA	"Notoungulata"	NA	"order"	0	0	0	NA	NA	NA	1	0	1	4	NA	1
9258	9257	NA	1	NA	"Ornithorhynchus anatinus"	"duck-billed platypus"	"species"	267062	0	267062	NA	NA	NA	1	1	1	1	9257	0
9257	9256	NA	1	NA	"Ornithorhynchus"	NA	"genus"	0	0	267062	NA	NA	NA	1	1	1	2	9257	0
9256	9255	NA	1	NA	"Ornithorhynchidae"	NA	"family"	0	0	267062	NA	NA	NA	1	1	1	3	NA	1
49271	9261	NA	1	NA	"Tachyglossus aculeatus aculeatus"	NA	"subspecies"	0	0	0	NA	NA	NA	0	0	1	1	9260	0
9261	9260	NA	1	NA	"Australian echidna"	"Australian echidna"	"species"	242	242	0	NA	NA	NA	1	0	1	2	9260	0
9260	9259	NA	1	NA	"Tachyglossus"	"short-nosed echidnas"	"genus"	0	242	0	NA	NA	NA	1	0	1	3	9260	0
33543	33542	NA	1	NA	"Zaglossus bruijni"	"long-beaked echidna"	"species"	7	7	0	NA	NA	NA	1	0	1	1	33542	0
1684341	33542	NA	1	NA	"Sir David's long-beaked echidna"	"Sir David's long-beaked echidna"	"species"	0	0	0	NA	NA	NA	1	0	1	1	33542	0
1684342	33542	NA	1	NA	"Eastern long-beaked echidna"	"Eastern long-beaked echidna"	"species"	0	0	0	NA	NA	NA	1	0	1	1	33542	0
33542	9259	NA	1	NA	"Zaglossus"	NA	"genus"	0	7	0	NA	NA	NA	3	0	3	4	33542	0
9259	9255	NA	1	NA	"Tachyglossidae"	"echidnas"	"family"	0	249	0	NA	NA	NA	4	0	4	8	NA	2
9255	9254	NA	1	NA	"Monotremata"	"egg-laying mammals"	"order"	0	249	267062	NA	NA	NA	5	1	5	12	NA	3
9254	40674	NA	0	NA	"Prototheria"	NA	"no rank"	0	249	267062	NA	NA	NA	5	1	5	13	NA	3
37699	37887	NA	1	NA	"Notoryctes typhlops"	"marsupial mole"	"species"	99	99	0	NA	NA	NA	1	0	1	1	37887	0
203824	37887	NA	1	NA	"Notoryctes caurinus"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	37887	0
37887	30662	NA	1	NA	"Notoryctes"	NA	"genus"	0	101	0	NA	NA	NA	2	0	2	3	37887	0
30662	38610	NA	1	NA	"Notoryctidae"	"marsupial moles"	"family"	0	101	0	NA	NA	NA	2	0	2	4	NA	1
38610	9263	NA	1	NA	"Notoryctemorphia"	NA	"order"	0	101	0	NA	NA	NA	2	0	2	5	NA	1
122387	9344	NA	1	NA	"Perameles nasuta pallescens"	NA	"subspecies"	3	3	0	NA	NA	NA	0	0	1	1	9343	0
9344	9343	NA	1	NA	"Perameles nasuta"	"long-nosed bandicoot"	"species"	19	19	0	NA	NA	NA	1	0	1	2	9343	0
37737	9343	NA	1	NA	"Perameles gunni"	"eastern barred bandicoot"	"species"	76	76	0	NA	NA	NA	1	0	1	1	9343	0
1031277	120735	NA	1	NA	"Perameles bougainville bougainville"	NA	"subspecies"	2	2	0	NA	NA	NA	0	0	1	1	9343	0
1031278	120735	NA	1	NA	"Perameles bougainville notina"	NA	"subspecies"	1	1	0	NA	NA	NA	0	0	1	1	9343	0
120735	9343	NA	1	NA	"Perameles bougainville"	"western barred bandicoot"	"species"	40	40	0	NA	NA	NA	1	0	2	3	9343	0
1031274	9343	NA	1	NA	"Desert bandicoot"	"Desert bandicoot"	"species"	1	1	0	NA	NA	NA	1	0	1	1	9343	0
9343	9342	NA	1	NA	"Perameles"	NA	"genus"	0	136	0	NA	NA	NA	4	0	5	8	9343	0
120737	37698	NA	1	NA	"Isoodon macrourus macrourus"	NA	"subspecies"	3	3	0	NA	NA	NA	0	0	1	1	37888	0
120738	37698	NA	1	NA	"Isoodon macrourus moresbyensis"	NA	"subspecies"	1	1	0	NA	NA	NA	0	0	1	1	37888	0
37698	37888	NA	1	NA	"Isoodon macrouris"	"northern brown bandicoot"	"species"	100	100	0	NA	NA	NA	1	0	2	3	37888	0
120739	65612	NA	1	NA	"Isoodon obesulus peninsulae"	NA	"subspecies"	5	5	0	NA	NA	NA	0	0	1	1	37888	0
120740	65612	NA	1	NA	"Isoodon obesulus obesulus"	NA	"subspecies"	34	34	0	NA	NA	NA	0	0	1	1	37888	0
120741	65612	NA	1	NA	"Isoodon obesulus nautica"	NA	"subspecies"	1	1	0	NA	NA	NA	0	0	1	1	37888	0
120742	65612	NA	1	NA	"Isoodon obesulus affinis"	NA	"subspecies"	1	1	0	NA	NA	NA	0	0	1	1	37888	0
120743	65612	NA	1	NA	"Isoodon obesulus fusciventer"	NA	"subspecies"	1	1	0	NA	NA	NA	0	0	1	1	37888	0
65612	37888	NA	1	NA	"Isoodon obesulus"	"southern brown bandicoot"	"species"	109	109	0	NA	NA	NA	1	0	5	6	37888	0
120736	120734	NA	1	NA	"Isoodon auratus barrowensis"	NA	"subspecies"	3	3	0	NA	NA	NA	0	0	1	1	37888	0
1031270	120734	NA	1	NA	"Isoodon auratus auratus"	NA	"subspecies"	3	3	0	NA	NA	NA	0	0	1	1	37888	0
120734	37888	NA	1	NA	"Isoodon auratus"	"golden bandicoot"	"species"	10	10	0	NA	NA	NA	1	0	2	3	37888	0
37888	9342	NA	1	NA	"Isoodon"	"short-nosed bandicoots"	"genus"	0	219	0	NA	NA	NA	3	0	9	13	37888	0
92649	92648	NA	1	NA	"Chaeropus ecaudatus"	"pig-footed bandicoot"	"species"	4	4	0	NA	NA	NA	1	0	1	1	92648	0
92648	9342	NA	1	NA	"Chaeropus"	NA	"genus"	0	4	0	NA	NA	NA	1	0	1	2	92648	0
92651	92650	NA	1	NA	"Macrotis lagotis"	"bilby"	"species"	92	92	0	NA	NA	NA	1	0	1	1	92650	0
92650	9342	NA	1	NA	"Macrotis"	NA	"genus"	0	92	0	NA	NA	NA	1	0	1	2	92650	0
9342	38611	NA	1	NA	"Peramelidae"	"bandicoots"	"family"	0	451	0	NA	NA	NA	9	0	16	26	NA	4
164530	38629	NA	1	NA	"Microperoryctes longicauda magnus"	NA	"subspecies"	1	1	0	NA	NA	NA	0	0	1	1	38628	0
164531	38629	NA	1	NA	"Microperoryctes longicauda ornatus"	NA	"subspecies"	15	15	0	NA	NA	NA	0	0	1	1	38628	0
38629	38628	NA	1	NA	"Microperoryctes longicauda"	"striped bandicoot"	"species"	11	11	0	NA	NA	NA	1	0	2	3	38628	0
65613	38628	NA	1	NA	"Microperoryctes papuensis"	"Papuan bandicoot"	"species"	10	10	0	NA	NA	NA	1	0	1	1	38628	0
1031271	38628	NA	1	NA	"Microperoryctes aplini"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	38628	0
1031272	38628	NA	1	NA	"Microperoryctes sp. MMW-2011"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	38628	0
1093929	38628	NA	1	NA	"Microperoryctes sp. RWM-2011"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	38628	0
38628	38627	NA	1	NA	"Microperoryctes"	NA	"genus"	0	25	0	NA	NA	NA	5	0	6	8	38628	0
164525	42733	NA	1	NA	"Echymipera kalubu cockerelli"	NA	"subspecies"	3	3	0	NA	NA	NA	0	0	1	1	42732	0
164526	42733	NA	1	NA	"Echymipera kalubu kalubu"	NA	"subspecies"	2	2	0	NA	NA	NA	0	0	1	1	42732	0
164527	42733	NA	1	NA	"Echymipera kalubu oriomo"	NA	"subspecies"	2	2	0	NA	NA	NA	0	0	1	1	42732	0
42733	42732	NA	1	NA	"Echymipera kalubu"	"Kalubu echymipera"	"species"	42	42	0	NA	NA	NA	1	0	3	4	42732	0
65610	42732	NA	1	NA	"Clara's echymipera"	"Clara's echymipera"	"species"	13	13	0	NA	NA	NA	1	0	1	1	42732	0
164528	65611	NA	1	NA	"Echymipera rufescens australis"	NA	"subspecies"	3	3	0	NA	NA	NA	0	0	1	1	42732	0
164529	65611	NA	1	NA	"Echymipera rufescens rufescens"	NA	"subspecies"	3	3	0	NA	NA	NA	0	0	1	1	42732	0
65611	42732	NA	1	NA	"Echymipera rufescens"	"long-nosed echymipera"	"species"	35	35	0	NA	NA	NA	1	0	2	3	42732	0
42732	38627	NA	1	NA	"Echymipera"	NA	"genus"	0	90	0	NA	NA	NA	3	0	6	9	42732	0
65628	65627	NA	1	NA	"Peroryctes raffrayana"	"Raffray's bandicoot"	"species"	22	22	0	NA	NA	NA	1	0	1	1	65627	0
1031279	65627	NA	1	NA	"Peroryctes broadbenti"	"giant bandicoot"	"species"	9	9	0	NA	NA	NA	1	0	1	1	65627	0
65627	38627	NA	1	NA	"Peroryctes"	NA	"genus"	0	31	0	NA	NA	NA	2	0	2	3	65627	0
1031281	1031280	NA	1	NA	"Rhynchomeles prattorum"	"Seram bandicoot"	"species"	1	1	0	NA	NA	NA	1	0	1	1	1031280	0
1031280	38627	NA	1	NA	"Rhynchomeles"	NA	"genus"	0	1	0	NA	NA	NA	1	0	1	2	1031280	0
38627	38611	NA	1	NA	"New Guinean bandicoots"	"New Guinean bandicoots"	"family"	0	147	0	NA	NA	NA	11	0	15	23	NA	4
38611	9263	NA	1	NA	"Peramelemorphia"	NA	"order"	0	598	0	NA	NA	NA	20	0	31	50	NA	8
9351	9350	NA	1	NA	"Mexican collared anteater"	"Mexican collared anteater"	"species"	3	3	0	NA	NA	NA	1	0	1	1	9350	0
48850	9350	NA	1	NA	"Tamandua tetradactyla"	"southern tamandua"	"species"	185	185	0	NA	NA	NA	1	0	1	1	9350	0
9350	9349	NA	1	NA	"Tamandua"	NA	"genus"	0	188	0	NA	NA	NA	2	0	2	3	9350	0
71006	71005	NA	1	NA	"Myrmecophaga tridactyla"	"giant anteater"	"species"	197	197	0	NA	NA	NA	1	0	1	1	71005	0
71005	9349	NA	1	NA	"Myrmecophaga"	NA	"genus"	0	197	0	NA	NA	NA	1	0	1	2	71005	0
9349	948952	NA	1	NA	"Myrmecophagidae"	"anteaters"	"family"	0	385	0	NA	NA	NA	3	0	3	6	NA	2
84074	84073	NA	1	NA	"Cyclopes didactylus"	"silky anteater"	"species"	169	169	0	NA	NA	NA	1	0	1	1	84073	0
84073	948954	NA	1	NA	"Cyclopes"	NA	"genus"	0	169	0	NA	NA	NA	1	0	1	2	84073	0
948954	948952	NA	1	NA	"Cyclopedidae"	NA	"family"	0	169	0	NA	NA	NA	1	0	1	3	NA	1
948952	948950	NA	1	NA	"Vermilingua"	NA	"suborder"	0	554	0	NA	NA	NA	4	0	4	10	NA	3
9354	9353	NA	1	NA	"Bradypus tridactylus"	"Pale-throated sloth"	"species"	100	100	0	NA	NA	NA	1	0	1	1	9353	0
37551	9355	NA	1	NA	"Bradypus infuscatus"	NA	"subspecies"	0	0	0	NA	NA	NA	0	0	1	1	9353	0
9355	9353	NA	1	NA	"Bradypus griseus"	"Brown-throated sloth"	"species"	187	187	0	NA	NA	NA	1	0	1	2	9353	0
227087	9353	NA	1	NA	"Bradypus torquatus"	"Maned three-toed sloth"	"species"	44	44	0	NA	NA	NA	1	0	1	1	9353	0
380228	9353	NA	1	NA	"Bradypus sp. DEW-2006"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	9353	0
652851	9353	NA	1	NA	"Bradypus pygmaeus"	"Pygmy three-toed sloth"	"species"	9	9	0	NA	NA	NA	1	0	1	1	9353	0
9353	9352	NA	1	NA	"Bradypus"	"three-toed sloth"	"genus"	0	341	0	NA	NA	NA	5	0	5	7	9353	0
9352	948953	NA	1	NA	"Bradypodidae"	"three-fingered sloths"	"family"	0	341	0	NA	NA	NA	5	0	5	8	NA	1
48784	48783	NA	1	NA	"Mylodon darwinii"	NA	"species"	33	33	0	NA	NA	NA	1	0	1	1	48783	0
48783	48781	NA	1	NA	"Mylodon"	NA	"genus"	0	33	0	NA	NA	NA	1	0	1	2	48783	0
48781	948953	NA	1	NA	"Mylodontidae"	NA	"family"	0	33	0	NA	NA	NA	1	0	1	3	NA	1
136416	136415	NA	1	NA	"Nothrotheriops shastensis"	"Shasta ground sloth"	"species"	6	6	0	NA	NA	NA	1	0	1	1	136415	0
136415	136417	NA	1	NA	"Nothrotheriops"	NA	"genus"	0	6	0	NA	NA	NA	1	0	1	2	136415	0
136417	948953	NA	1	NA	"Megatheriidae"	"ground sloths"	"family"	0	6	0	NA	NA	NA	1	0	1	3	NA	1
9358	9357	NA	1	NA	"Choloepus hoffmanni"	"Hoffmann's two-fingered sloth"	"species"	10367	10367	0	NA	NA	NA	1	1	1	1	9357	0
27675	9357	NA	1	NA	"Choloepus brasiliensis Fitzinger 1871"	"southern two-toed sloth"	"species"	192	192	0	NA	NA	NA	1	0	1	1	9357	0
927259	9357	NA	1	NA	"Choloepus didactylus x Choloepus hoffmanni"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	9357	0
9357	227508	NA	1	NA	"Choloepus"	NA	"genus"	0	10561	0	NA	NA	NA	3	1	3	4	9357	0
227508	948953	NA	1	NA	"Megalonychidae"	"two-toed sloths"	"family"	0	10561	0	NA	NA	NA	3	1	3	5	NA	1
948953	948950	NA	1	NA	"Folivora"	NA	"suborder"	0	10941	0	NA	NA	NA	10	1	10	20	NA	4
976177	948957	NA	1	NA	"Pilosa sp. BOLD:AAJ5166"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	948950	0
948957	948950	NA	0	NA	"unclassified Pilosa"	NA	"no rank"	0	0	0	NA	NA	NA	1	0	1	2	NA	0
948950	9348	NA	1	NA	"Pilosa"	NA	"order"	0	11495	0	NA	NA	NA	15	1	15	33	NA	7
9361	9360	NA	1	NA	"Dasypus novemcinctus"	"nine-banded armadillo"	"species"	98146	0	98146	NA	NA	NA	1	1	1	1	9360	0
30574	9360	NA	1	NA	"Dasypus sp."	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	9360	0
81630	9360	NA	1	NA	"Dasypus kappleri"	"great long-nosed armadillo"	"species"	54	54	0	NA	NA	NA	1	0	1	1	9360	0
286599	9360	NA	1	NA	"Dasypus sp. VJL-2004"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	9360	0
1700840	9360	NA	1	NA	"Dasypus septemcinctus"	"seven-banded armadillo"	"species"	3	3	0	NA	NA	NA	1	0	1	1	9360	0
1756217	9360	NA	1	NA	"Dasypus sabanicola"	"Llanos long-nosed armadillo"	"species"	2	2	0	NA	NA	NA	1	0	1	1	9360	0
1756218	9360	NA	1	NA	"Dasypus yepesi"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	9360	0
1756219	9360	NA	1	NA	"Dasypus pilosus"	"hairy long-nosed armadillo"	"species"	3	3	0	NA	NA	NA	1	0	1	1	9360	0
1756220	9360	NA	1	NA	"Dasypus hybridus"	"southern long-nosed armadillo"	"species"	2	2	0	NA	NA	NA	1	0	1	1	9360	0
9360	9359	NA	1	NA	"Dasypus"	NA	"genus"	0	68	98146	NA	NA	NA	9	1	9	10	9360	0
9359	948951	NA	1	NA	"Dasypodidae"	"armadillo"	"family"	0	68	98146	NA	NA	NA	9	1	9	11	NA	1
974357	948956	NA	1	NA	"Cingulata sp. BOLD:AAE3389"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	948951	0
974358	948956	NA	1	NA	"Cingulata sp. BOLD:AAN0673"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	948951	0
948956	948951	NA	0	NA	"unclassified Cingulata"	NA	"no rank"	0	0	0	NA	NA	NA	2	0	2	3	NA	0
29080	29079	NA	1	NA	"Chaetophractus villosus"	"large hairy armadillo"	"species"	60	60	0	NA	NA	NA	1	0	1	1	29079	0
340076	29079	NA	1	NA	"Chaetophractus vellerosus"	"Screaming hairy armadillo"	"species"	73	73	0	NA	NA	NA	1	0	1	1	29079	0
29079	1811493	NA	1	NA	"Chaetophractus"	NA	"genus"	0	133	0	NA	NA	NA	2	0	2	3	29079	0
48852	48851	NA	1	NA	"Cabassous unicinctus"	"southern naked-tailed armadillo"	"species"	53	53	0	NA	NA	NA	1	0	1	1	48851	0
1756213	48851	NA	1	NA	"Cabassous chacoensis"	"Chacoan naked-tailed armadillo"	"species"	2	2	0	NA	NA	NA	1	0	1	1	48851	0
1756214	48851	NA	1	NA	"Cabassous tatouay"	"greater naked-tailed armadillo"	"species"	2	2	0	NA	NA	NA	1	0	1	1	48851	0
1756215	48851	NA	1	NA	"Cabassous centralis"	"northern naked-tailed armadillo"	"species"	2	2	0	NA	NA	NA	1	0	1	1	48851	0
48851	1811493	NA	1	NA	"Cabassous"	NA	"genus"	0	59	0	NA	NA	NA	4	0	4	5	48851	0
1854742	143300	NA	1	NA	"Euphractus sexcinctus flavimanus"	NA	"subspecies"	1	1	0	NA	NA	NA	0	0	1	1	143299	0
143300	143299	NA	1	NA	"Euphractus sexcinctus"	NA	"species"	92	92	0	NA	NA	NA	1	0	1	2	143299	0
143299	1811493	NA	1	NA	"Euphractus"	NA	"genus"	0	92	0	NA	NA	NA	1	0	1	3	143299	0
183747	183746	NA	1	NA	"Zaedyus pichiy"	NA	"species"	56	56	0	NA	NA	NA	1	0	1	1	183746	0
183746	1811493	NA	1	NA	"Zaedyus"	NA	"genus"	0	56	0	NA	NA	NA	1	0	1	2	183746	0
183749	183748	NA	1	NA	"Tolypeutes matacus"	NA	"species"	50	50	0	NA	NA	NA	1	0	1	1	183748	0
183750	183748	NA	1	NA	"Tolypeutes tricinctus"	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	183748	0
183748	1811493	NA	1	NA	"Tolypeutes"	NA	"genus"	0	53	0	NA	NA	NA	2	0	2	3	183748	0
183752	183751	NA	1	NA	"Priodontes maximus"	NA	"species"	48	48	0	NA	NA	NA	1	0	1	1	183751	0
183751	1811493	NA	1	NA	"Priodontes"	NA	"genus"	0	48	0	NA	NA	NA	1	0	1	2	183751	0
450267	450266	NA	1	NA	"Chlamyphorus truncatus"	"Pink fairy armadillo"	"species"	43	43	0	NA	NA	NA	1	0	1	1	450266	0
450266	1811493	NA	1	NA	"Chlamyphorus"	NA	"genus"	0	43	0	NA	NA	NA	1	0	1	2	450266	0
984615	984614	NA	1	NA	"Burmeisteria retusa"	"Greater fairy armadillo"	"species"	6	6	0	NA	NA	NA	1	0	1	1	984614	0
984614	1811493	NA	1	NA	"Calyptophractus"	NA	"genus"	0	6	0	NA	NA	NA	1	0	1	2	984614	0
1811496	1811494	NA	1	NA	"Doedicurus sp. FD-2016a"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	1811494	0
1849957	1811494	NA	1	NA	"Doedicurus sp."	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	1811494	0
1811494	1811493	NA	1	NA	"Doedicurus"	NA	"genus"	0	2	0	NA	NA	NA	2	0	2	3	1811494	0
1811493	948951	NA	1	NA	"Chlamyphoridae"	NA	"family"	0	492	0	NA	NA	NA	15	0	15	26	NA	9
948951	9348	NA	1	NA	"Cingulata"	NA	"order"	0	560	98146	NA	NA	NA	26	1	26	41	NA	10
9348	9347	NA	1	NA	"Edentata"	NA	"superorder"	0	12055	98146	NA	NA	NA	41	2	41	75	NA	17
110931	9456	NA	1	NA	"Cynocephalus volans"	"Philippine flying lemur"	"species"	103	103	0	NA	NA	NA	1	0	1	1	9456	0
531817	9456	NA	1	NA	"Cynocephalus sp. DH-2008"	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	9456	0
9456	30657	NA	1	NA	"Cynocephalus"	NA	"genus"	0	106	0	NA	NA	NA	2	0	2	3	9456	0
586973	482537	NA	1	NA	"Galeopterus variegatus variegatus"	NA	"subspecies"	30	30	0	NA	NA	NA	0	0	1	1	482536	0
586975	482537	NA	1	NA	"Galeopterus variegatus peninsulae"	NA	"subspecies"	30	30	0	NA	NA	NA	0	0	1	1	482536	0
482537	482536	NA	1	NA	"Cynocephalus variegatus"	"Malayan flying lemur"	"species"	238171	0	238171	NA	NA	NA	1	1	2	3	482536	0
482536	30657	NA	1	NA	"Galeopterus"	NA	"genus"	0	0	238171	NA	NA	NA	1	1	2	4	482536	0
30657	30656	NA	1	NA	"Cynocephalidae"	"colugos"	"family"	0	106	238171	NA	NA	NA	3	1	4	8	NA	2
30656	314146	NA	1	NA	"Dermoptera"	"flying lemurs"	"order"	0	106	238171	NA	NA	NA	3	1	4	9	NA	2
9395	9394	NA	1	NA	"Tupaia glis"	"common tree shrew"	"species"	338	338	0	NA	NA	NA	1	0	1	1	9394	0
37347	9394	NA	1	NA	"Tupaia belangeri"	"common tree shrew"	"species"	519	519	0	NA	NA	NA	1	0	1	1	9394	0
70687	9394	NA	1	NA	"Tupaia tana"	"large tree shrew"	"species"	50	50	0	NA	NA	NA	1	0	1	1	9394	0
143289	9394	NA	1	NA	"Tupaia minor"	NA	"species"	100	100	0	NA	NA	NA	1	0	1	1	9394	0
242126	9394	NA	1	NA	"Tupaia sp. FKN-2003"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	9394	0
246436	9394	NA	1	NA	"Tupaia longipes"	"long-footed tree shrew"	"species"	19	19	0	NA	NA	NA	1	0	1	1	9394	0
246437	9394	NA	1	NA	"Chinese tree shrew"	"Chinese tree shrew"	"species"	189447	0	189447	NA	NA	NA	1	1	1	1	9394	0
246438	9394	NA	1	NA	"Tupaia glis salatana"	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	9394	0
320341	9394	NA	1	NA	"Tupaia dorsalis"	"striped tree shrew"	"species"	15	15	0	NA	NA	NA	1	0	1	1	9394	0
320342	9394	NA	1	NA	"Tupaia gracilis"	"slender tree shrew"	"species"	13	13	0	NA	NA	NA	1	0	1	1	9394	0
320343	9394	NA	1	NA	"Javan tree shrew"	"Javan tree shrew"	"species"	2	2	0	NA	NA	NA	1	0	1	1	9394	0
320358	9394	NA	1	NA	"Nicobar tree shrew"	"Nicobar tree shrew"	"species"	2	2	0	NA	NA	NA	1	0	1	1	9394	0
320359	9394	NA	1	NA	"Palawan tree shrew"	"Palawan tree shrew"	"species"	8	8	0	NA	NA	NA	1	0	1	1	9394	0
320362	9394	NA	1	NA	"Tupaia splendidula"	"ruddy tree shrew"	"species"	24	24	0	NA	NA	NA	1	0	1	1	9394	0
358132	9394	NA	1	NA	"Tupaia sp. P. Deininger"	NA	"species"	10	10	0	NA	NA	NA	1	0	1	1	9394	0
531818	9394	NA	1	NA	"Tupaia sp. DH-2008"	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	9394	0
1002719	9394	NA	1	NA	"Tupaia sp. AVB-2011"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	9394	0
1003855	9394	NA	1	NA	"Tupaia sp. BOLD:AAH4127"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	9394	0
1035793	9394	NA	1	NA	"Tupaia chrysogaster"	"golden-bellied treeshrew"	"species"	1	1	0	NA	NA	NA	1	0	1	1	9394	0
1035794	9394	NA	1	NA	"Calamian treeshrew"	"Calamian treeshrew"	"species"	1	1	0	NA	NA	NA	1	0	1	1	9394	0
